1 Nephi,572
2 Nephi,751
Jacob,189
Enos,32
Jarom,13
Omni,24
Words of Mormon,17
Mosiah,635
Alma,1454
Helaman,302
3 Nephi,424
4 Nephi,49
Mormon,263
Ether,370
Moroni,270
